title,author,avg_rating,total_reviews,ISBN,release_date,author_rating,author_works
"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,4.63,50457,9780765326386,November 17th 2020,4.38,271
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.43,136692,9781635574043,March 3rd 2020,4.36,60
The Invisible Life of Addie LaRue,V.E. Schwab,4.31,239060,9780765387561,October 6th 2020,4.2,54
The House in the Cerulean Sea,T.J. Klune,4.53,89951,9781250217288,March 17th 2020,,
"The Empire of Gold (Daevabad Trilogy, #3)",S.A. Chakraborty,4.52,18214,9780062678164,June 30th 2020,,
"Peace Talks (The Dresden Files, #16)",Jim Butcher,4.2,30569,9780356515298,July 14th 2020,4.24,171
"The Trouble with Peace (The Age of Madness, #2)",Joe Abercrombie,4.65,9516,9780575095915,September 15th 2020,,
"Come Tumbling Down (Wayward Children, #5)",Seanan McGuire,3.94,14199,9780765399311,January 7th 2020,4.02,454
"Smoke Bitten (Mercy Thompson, #12)",Patricia Briggs,4.42,21144,9780440001553,March 17th 2020,4.25,103
Piranesi,Susanna Clarke,4.3,53890,9781635575637,September 15th 2020,3.93,30
The Once and Future Witches,Alix E. Harrow,4.1,23664,9780316422048,October 13th 2020,,
"Black Sun (Between Earth and Sky, #1)",Rebecca Roanhorse,4.26,12241,9781534437678,October 13th 2020,,
"A Song of Wraiths and Ruin (A Song of Wraiths and Ruin, #1)",Roseanne A. Brown,4.06,9546,9780062891495,June 2nd 2020,,
"Igniting Darkness (Courting Darkness Duology, #2)",Robin LaFevers,4.11,1401,9780358335801,August 4th 2020,,
"Battle Ground (The Dresden Files, #17)",Jim Butcher,4.39,27069,9780593199305,September 29th 2020,4.24,171
"A Time of Courage (Of Blood and Bone, #3)",John Gwynne,4.51,2168,9781509813025,April 2nd 2020,,
The Shadows Between Us,Tricia Levenseller,3.94,53543,9781250189967,February 25th 2020,,
The Unspoken Name (The Serpent Gates #1),A.K. Larkwood,3.75,4040,9781250238900,February 11th 2020,3.75,4
"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,4.45,22754,9781510109186,March 30th 2021,,
"The Burning God (The Poppy War, #3)",R.F. Kuang,4.32,11974,9780008339142,November 26th 2020,4.15,11
"How to Rule an Empire and Get Away with It (The Siege, #2)",K.J. Parker,4.14,1035,9780316498678,August 18th 2020,3.87,133
"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,4.28,19069,9781250313225,August 4th 2020,,
Mermaid Moon,Susann Cokal,3.42,422,9781536209594,March 3rd 2020,,
"American Demon (The Hollows, #14)",Kim Harrison,4.47,5866,9780593101414,June 16th 2020,,
"Scavenge the Stars (Scavenge the Stars, #1)",Tara Sim,3.57,4007,9781368051415,January 7th 2020,,
"Crush the King  (Crown of Shards, #3)",Jennifer Estep,4.11,3850,9780062797698,March 17th 2020,,
Race the Sands,Sarah Beth Durst,4.32,1978,9780062888617,April 21st 2020,,
"Ink & Sigil (Ink & Sigil, #1)",Kevin Hearne,4.17,3325,9781984821256,August 25th 2020,4.15,63
"Raybearer (Raybearer, #1)",Jordan Ifueko,4.44,8198,9781419739828,August 18th 2020,,
The Year of the Witching,Alexis Henderson,3.82,14861,9780593099605,July 21st 2020,3.82,3
Magic Lessons,Alice Hoffman,4.21,23910,9781982163624,October 6th 2020,3.85,84
"A Killing Frost (October Daye, #14)",Seanan McGuire,4.34,3544,9780756415082,September 1st 2020,4.02,454
"A Deadly Education (The Scholomance, #1)",Naomi Novik,4.04,41332,9780593128480,September 29th 2020,,
"The Shadow Saint (The Black Iron Legacy, #2)",Gareth Ryder-Hanrahan,4.27,739,9780356511535,January 9th 2020,,
The Age of Witches,Louisa Morgan,3.97,5192,9780316419512,April 7th 2020,3.85,6
The Angel of the Crows,Katherine Addison,3.79,4554,9780765387394,June 23rd 2020,3.98,7
We Ride Upon Sticks,Quan Barry,3.85,7611,9781524748098,March 3rd 2020,,
The Harpy,Megan  Hunter,3.38,2504,9780802148162,November 3rd 2020,,
Trouble the Saints,Alaya Dawn Johnson,3.45,952,9781250175342,July 21st 2020,,
Phoenix Extravagant,Yoon Ha Lee,3.76,945,9781781087947,October 20th 2020,,
The Blade Between,Sam J. Miller,3.55,344,9780062969828,December 1st 2020,,
A Children's Bible,Lydia Millet,3.75,16743,9781324005032,May 12th 2020,3.55,34
Utopia Avenue,David Mitchell,4.03,11825,9780812997439,July 14th 2020,3.93,69
The Left-Handed Booksellers of London,Garth Nix,3.91,7167,9780062683250,September 22nd 2020,4.03,193
The Midnight Bargain,C.L. Polk,3.79,4505,9781645660071,October 13th 2020,,
Interior Chinatown,Charles Yu,4.05,22877,9780307907196,January 28th 2020,,
